Financial Year,Inflation,Population,Consumption,Disasters,(in $) Oil Price Nminal,Oil Price Inflation Adjusted,M1 (Narrow money),M3 (Broad Money),CO2 Emission,Exports,Imports,Gross Domestic Product (in Rs. Cr) at 2004-05 Prices,Agriculture & Allied Services (in Rs. Cr.) at 2004-05 Prices,Agriculture (in Rs. Cr.) at 2004-05 Prices,Industry (in Rs. Cr.) at 2004-05 Prices,Mining and Quarrying (in Rs. Cr.) at 2004-05 Prices,Manufacturing (in Rs. Cr.) at 2004-05 Prices,Services (in Rs. Cr.) at 2004-05 Prices
1951,3,335036002,83.55850233,0,2.77,25.7,0.1044768067,0.032621971,0.1763832676,716,890,286147,147216,118877,"47,768","5,772","25,889","84,799"
1952,4,346841799,83.12382401,0,2.77,25.13,0.1193291,0.03673581,0.1874986302,578,702,294267,151859,123822,"47,739","5,905","26,789","87,438"
1953,3,358647596,82.68914569,0,2.92,26.23,0.1176223,0.03679493,0.1986139929,531,610,312177,163553,134958,"50,409","5,993","28,863","89,940"
1954,4,370453393,82.25446737,1,2.99,26.82,0.1221983,0.03831624,0.2097293555,593,700,325431,168361,138731,"54,574","6,250","30,885","94,172"
1955,3,382259190,81.81978904,0,2.93,26.31,0.1332878,0.04214446,0.2208447181,609,774,333766,166906,136679,"60,311","6,348","33,304","98,845"
1956,4,394064986,81.38511072,0,2.94,26.07,0.146912,0.04653236,0.2319600807,605,841,352766,175980,144859,"65,480","6,671","35,804",103391
1957,3,405870783,80.9504324,1,3.14,26.9,0.1555504,0.05056335,0.2430754434,561,1035,348500,168075,137497,"64,842","7,105","37,184",107275
1958,5.15,417676580,80.51575408,0,3,25.04,0.1592874,0.05526649,0.254190806,581,906,374948,185010,152961,"69,335","7,327","39,026",111690
1959,4.23,429482377,80.08107576,0,3,24.79,0.1679939,0.06148144,0.2681614074,640,961,383153,183147,150730,"74,081","7,704","41,676",117232
1960,0,449661874,80.827,0,2.91,23.72,0.1803707,0.06733496,0.2681614074,642,1122,410279,195482,161708,"82,413","8,857","45,134",123872
1961,3.21,458691457,79.492,0,2.85,22.96,0.1882945,0.06838205,0.2842917282,660,1090,423011,195647,161187,"88,006","9,367","48,988",130511
1962,2.48,468054145,77.995,0,2.85,22.69,0.2032018,0.07453309,0.306519469,685,1131,431960,191755,157727,"93,996","10,479","52,554",137883
1963,6.87,477729958,76.899,0,2.91,22.9,0.224897,0.08081267,0.3225329926,793,1223,453829,196241,160682,103221,"10,789","57,525",146069
1964,17.01,487690114,77.634,0,3,23.3,0.253498,0.08937775,0.3089004466,816,1349,488247,214343,177284,110195,"10,945","61,503",154472
1965,5.49,497920270,76.224,0,3.01,23,0.277073,0.09793177,0.3333306495,810,1409,470402,190675,153404,114706,"12,231","62,074",158795
1966,13.94,508402908,77.075,0,3.1,23.01,0.3044021,0.1090647,0.3378539821,1157,2078,475190,187962,149894,118823,"12,519","62,563",163712
1967,8.6,519162069,78.116,0,3.12,22.53,0.3294758,0.1193233,0.3317634324,1199,2008,513860,215914,175484,122755,"12,899","62,804",169942
1968,-2.23,530274729,77.824,0,3.18,21.99,0.357387,0.1315547,0.3532810801,1358,1909,527270,215572,174879,128685,"13,264","66,283",177732
1969,3.54,541844848,76.201,0,3.32,21.81,0.3918106,0.147894,0.3519906809,1413,1582,561630,229428,187556,138291,"13,919","73,394",186910
1970,5.01,553943226,75.374,0,3.39,21.04,0.4454616,0.1712449,0.352279914,1535,1634,589787,245699,201455,139321,"12,965","75,118",196158
1971,4.89,566605402,73.407,0,3.6,21.42,0.5029421,0.1970749,0.3633376002,1608,1825,595741,241087,196089,142814,"13,308","77,573",203374
1972,7.66,579800632,74.062,1,3.6,20.74,0.567629,0.2283773,0.3757311117,1971,1867,593843,228988,185055,148011,"14,094","80,614",209353
1973,23.81,593451889,75.134,0,4.75,25.56,0.6662048,0.2727016,0.3780313066,2523,2955,620872,245479,200648,148920,"14,271","84,201",216163
1974,25.4,607446519,73.505,0,9.35,45.6,0.761049,0.3154595,0.3819146999,3329,4519,628079,241740,195119,151024,"14,979","86,655",225076
1975,-6.18,621703641,72.538,0,12.21,54.61,0.8224584,0.3524831,0.4056620798,4036,5265,684634,272899,222817,161723,"16,795","88,482",240036
1976,0,636182810,71.028,0,13.1,55.46,0.9268229,0.4135537,0.4146381211,5142,5074,693191,257131,209266,175745,"17,391","96,242",251164
1977,7.86,650907559,72.04,1,14.4,57.2,1.086131,0.5005257,0.4287112081,5408,6020,744972,282937,235455,188059,"17,936",102232,263566
1978,1.51,665936435,70.34,0,14.95,55.24,1.04142,0.5978629,0.4251097434,5726,6811,785965,289452,240148,201012,"18,423",114859,281161
1979,11.7,681358553,70.03,0,25.1,82.51,1.195345,0.7264047,0.4357343424,6418,9143,745083,252475,208060,194656,"18,621",111159,287349
1980,9.09,697229745,74.863,0,37.42,109.51,1.346182,0.8451257,0.4503769572,6711,12549,798506,285015,238102,204861,"20,891",111376,300614
1981,12.73,713561406,70.629,0,35.75,94.83,1.56637,1.000408,0.4748549055,7806,13608,843426,298130,249645,221264,"23,745",120475,316225
1982,8.05,730303461,69.383,1,31.83,79.5,1.726676,1.140061,0.4787563906,8803,14293,868092,297293,249296,224402,"26,569",124436,338781
